13
756	101	195
717	267	686
710	204	637
708	533	438
704	199	207
681	716	541
664	104	206
654	244	302
653	513	498
605	457	267
597	138	200
593	518	185
591	719	394
588	614	449
574	611	72
535	547	250
533	82	384
528	130	534
500	437	477
486	695	182
474	347	602
465	307	491
463	435	233
457	245	620
453	347	682
442	463	78
441	501	298
436	694	86
431	256	756
428	621	143
425	588	154
401	454	338
398	367	422
393	197	586
390	649	490
380	248	334
375	383	693
371	94	249
366	293	544
359	580	476
357	220	220
341	231	274
338	494	514
337	716	214
334	120	710
331	401	711
328	711	174
317	224	642
311	600	507
302	757	284
299	551	254
285	510	497
224	229	546
217	452	532
207	534	96
203	335	412
181	628	610
156	671	97
145	231	677
140	256	404
136	258	549
131	552	703
128	281	229
118	504	689
115	278	387
112	86	617
105	674	110
85	602	470
80	570	330
74	389	363
